internal_timestamp,gps_timestamp,lon,lat,diff_s
2000-01-01T00:10:07.590Z,2024-06-28T20:25:41Z,31.180249,-25.572711,70
2000-01-01T00:14:57.630Z,2024-06-28T20:30:31Z,31.180079,-25.572565,290
2000-01-01T00:19:39.650Z,2024-06-28T20:35:13Z,31.180064,-25.572594,282
2000-01-01T00:24:37.720Z,2024-06-28T20:40:11Z,31.180127,-25.572599,298
2000-01-01T00:29:35.240Z,2024-06-28T20:45:08Z,31.180107,-25.572575,297
2000-01-01T00:34:35.680Z,2024-06-28T20:50:09Z,31.180047,-25.572607,301
2000-01-01T00:39:35.690Z,2024-06-28T20:55:09Z,31.180097,-25.572641,300
2000-01-01T00:44:38.700Z,2024-06-28T21:00:12Z,31.179994,-25.572511,303
2000-01-01T00:49:35.720Z,2024-06-28T21:05:09Z,31.180109,-25.57264,297
2000-01-01T00:54:39.710Z,2024-06-28T21:10:13Z,31.180076,-25.572555,304
2000-01-01T00:59:43.730Z,2024-06-28T21:15:17Z,31.180045,-25.572558,304
2000-01-01T01:04:40.680Z,2024-06-28T21:20:14Z,31.180099,-25.572563,297
2000-01-01T01:09:38.710Z,2024-06-28T21:25:12Z,31.1798,-25.572342,298
2000-01-01T01:14:31.830Z,2024-06-28T21:30:05Z,31.179954,-25.572507,293
2000-01-01T01:19:39.330Z,2024-06-28T21:35:12Z,31.180161,-25.572622,307
2000-01-01T01:24:34.780Z,2024-06-28T21:40:08Z,31.180298,-25.572651,296
2000-01-01T01:29:44.720Z,2024-06-28T21:45:18Z,31.180119,-25.572553,310
2000-01-01T01:34:37.750Z,2024-06-28T21:50:11Z,31.180077,-25.572574,293
2000-01-01T01:39:38.760Z,2024-06-28T21:55:12Z,31.179962,-25.572588,301
2000-01-01T01:44:38.760Z,2024-06-28T22:00:12Z,31.179961,-25.572571,300
2000-01-01T01:49:38.810Z,2024-06-28T22:05:12Z,31.1801,-25.57259,300
2000-01-01T01:54:39.710Z,2024-06-28T22:10:13Z,31.180429,-25.572585,301
2000-01-01T01:59:39.760Z,2024-06-28T22:15:13Z,31.180211,-25.572582,300
